iter	MultiClass
0	-1.052933916
1	-0.998750984
2	-0.9556742772
3	-0.9094904287
4	-0.8761165981
5	-0.8459759238
6	-0.8151364113
7	-0.7868901437
8	-0.7628519865
9	-0.736023291
10	-0.7143421761
11	-0.6947753663
12	-0.6747652203
13	-0.65848452
14	-0.6406960876
15	-0.6248447296
16	-0.6121323906
17	-0.5985475342
18	-0.5860588199
19	-0.5749337278
20	-0.566664905
21	-0.5566592997
22	-0.5503111323
23	-0.5422095096
24	-0.5339527579
25	-0.5276572183
26	-0.5205566267
27	-0.5137322651
28	-0.5043735012
29	-0.4970091977
30	-0.4908725861
31	-0.4843125816
32	-0.4791545288
33	-0.4726009372
34	-0.4678388041
35	-0.4605649644
36	-0.4545500025
37	-0.4495433685
38	-0.4456403139
39	-0.4421257645
40	-0.4373625981
41	-0.4338604488
42	-0.4305382898
43	-0.4272904375
44	-0.424593957
45	-0.4208614276
46	-0.4180292609
47	-0.4151655944
48	-0.4116488733
49	-0.4094991613
50	-0.406653858
51	-0.4049233848
52	-0.4025540759
53	-0.400338019
54	-0.3971491211
55	-0.3944589833
56	-0.3911741729
57	-0.3875734751
58	-0.3842472557
59	-0.3822315697
60	-0.3787901737
61	-0.3759788121
62	-0.3737997452
63	-0.3703780254
64	-0.3670244133
65	-0.3637517793
66	-0.3599627718
67	-0.3571874098
68	-0.3540007983
69	-0.351986076
70	-0.3486765833
71	-0.3458818843
72	-0.3421203148
73	-0.340317798
74	-0.3385762422
75	-0.3370308932
76	-0.3352332423
77	-0.3332984779
78	-0.3307585523
79	-0.32903937
80	-0.3261926533
81	-0.3242240568
82	-0.3228455468
83	-0.3208832445
84	-0.3191907907
85	-0.317134715
86	-0.3154151331
87	-0.313437465
88	-0.3118692666
89	-0.309953404
90	-0.3080677282
91	-0.3047709666
92	-0.3027373117
93	-0.3005460728
94	-0.2994690095
95	-0.2982297972
96	-0.2964726104
97	-0.2952925196
98	-0.2939528363
99	-0.292523368
100	-0.2907906332
101	-0.288941397
102	-0.2874646583
103	-0.2858102988
104	-0.2840716937
105	-0.283015938
106	-0.281699749
107	-0.2804491961
108	-0.2794403184
109	-0.2783320953
110	-0.2768942151
111	-0.275770841
112	-0.2742014867
113	-0.2726829411
114	-0.2720774656
115	-0.2703098975
116	-0.2686434035
117	-0.2673828207
118	-0.2664748515
119	-0.2657101467
120	-0.2646655589
121	-0.2638720374
122	-0.2633665144
123	-0.2625716182
124	-0.261505807
125	-0.2604655076
126	-0.2592267805
127	-0.25822848
128	-0.2574398714
129	-0.2566144586
130	-0.2556328569
131	-0.2546138133
132	-0.2535176995
133	-0.2525422647
134	-0.2515263003
135	-0.2508820607
136	-0.2501240114
137	-0.2495187949
138	-0.2487197846
139	-0.2477966323
140	-0.247157683
141	-0.2459800852
142	-0.245076868
143	-0.2442015498
144	-0.2432527156
145	-0.2423105477
