iter	Passed	Remaining
0	3	17875
1	13	33360
2	26	44475
3	33	41592
4	47	47367
5	58	48968
6	71	51204
7	82	51638
8	94	52276
9	105	52677
10	116	52899
11	120	50248
12	127	48844
13	132	47280
14	147	48938
15	156	48664
16	171	50252
17	185	51292
18	192	50412
19	198	49486
20	201	47837
21	209	47430
22	214	46345
23	228	47287
24	244	48609
25	251	48099
26	257	47400
27	269	47814
28	280	48069
29	284	47208
30	296	47535
31	312	48494
32	321	48376
33	341	49909
34	347	49226
35	358	49496
36	365	49072
37	375	48998
38	386	49208
39	389	48306
40	400	48451
41	405	47906
42	418	48211
43	433	48815
44	441	48642
45	456	49174
46	469	49494
47	473	48864
48	477	48249
49	480	47605
50	485	47123
51	487	46432
52	497	46432
53	509	46666
54	524	47156
55	538	47529
56	553	47987
57	566	48232
58	575	48190
59	579	47737
60	590	47845
61	600	47839
62	612	47975
63	623	48111
64	634	48202
65	646	48306
66	657	48385
67	668	48464
68	679	48592
69	691	48684
70	702	48799
71	714	48872
72	726	49021
73	739	49248
74	754	49552
75	770	49910
76	782	50013
77	795	50170
78	806	50243
79	818	50352
80	829	50390
81	841	50448
82	852	50492
83	863	50535
84	874	50572
85	885	50606
86	897	50682
87	908	50726
88	919	50764
89	931	50816
90	942	50866
91	957	51056
92	972	51297
93	987	51524
94	1002	51744
95	1018	52008
96	1033	52241
97	1048	52449
98	1064	52688
99	1079	52896
100	1096	53165
101	1107	53181
102	1118	53185
103	1129	53188
104	1141	53206
105	1152	53210
106	1164	53236
107	1175	53235
108	1186	53236
109	1198	53260
110	1209	53251
111	1220	53286
112	1232	53282
113	1244	53329
114	1255	53335
115	1267	53350
116	1279	53379
117	1290	53371
118	1301	53366
119	1313	53405
120	1325	53436
121	1336	53424
122	1347	53421
123	1358	53435
124	1370	53431
125	1382	53495
126	1394	53524
127	1406	53545
128	1418	53559
129	1435	53769
130	1449	53889
131	1469	54187
132	1480	54174
133	1492	54200
134	1504	54210
135	1518	54298
136	1531	54375
137	1556	54826
138	1568	54863
139	1580	54872
140	1593	54906
141	1606	54954
142	1617	54949
143	1628	54924
144	1642	54995
145	1658	55146
146	1675	55300
147	1688	55347
148	1700	55354
149	1711	55354
150	1723	55333
151	1734	55309
152	1748	55392
153	1763	55495
154	1779	55623
155	1792	55652
156	1804	55662
157	1817	55704
158	1831	55764
159	1846	55869
160	1862	55979
161	1873	55959
162	1885	55950
163	1896	55919
164	1907	55894
165	1918	55876
166	1930	55875
167	1941	55849
168	1952	55816
169	1964	55814
170	1978	55859
171	1992	55917
172	2008	56053
173	2022	56093
174	2038	56202
175	2053	56296
176	2070	56410
177	2082	56420
178	2096	56457
179	2108	56450
180	2119	56425
181	2130	56410
182	2142	56391
183	2153	56374
184	2170	56478
185	2186	56590
186	2202	56695
187	2214	56682
188	2226	56671
189	2237	56644
190	2248	56625
191	2261	56619
192	2272	56608
193	2284	56582
194	2298	56640
195	2317	56795
196	2334	56905
197	2345	56876
198	2356	56862
199	2368	56850
200	2379	56823
201	2394	56868
202	2405	56835
203	2416	56808
204	2428	56814
205	2442	56842
206	2461	56988
207	2476	57055
208	2488	57042
209	2500	57034
210	2511	57010
211	2523	56984
212	2537	57017
213	2552	57087
214	2573	57278
215	2585	57253
216	2599	57299
217	2611	57276
218	2622	57245
219	2633	57225
220	2645	57204
221	2656	57185
222	2670	57207
223	2685	57260
224	2704	57404
225	2718	57433
226	2731	57425
227	2743	57420
228	2755	57402
229	2766	57378
230	2777	57348
231	2789	57319
232	2800	57293
233	2812	57288
234	2824	57275
235	2835	57248
236	2847	57224
237	2858	57198
238	2870	57175
239	2882	57160
240	2893	57131
241	2905	57121
242	2919	57154
243	2936	57228
244	2951	57284
245	2963	57268
246	2974	57243
247	2986	57218
248	2997	57201
249	3009	57182
250	3020	57156
251	3032	57129
252	3043	57104
253	3055	57090
254	3066	57061
255	3079	57068
256	3092	57068
257	3104	57055
258	3115	57028
259	3126	57000
260	3138	56984
261	3150	56975
262	3162	56961
263	3173	56931
264	3184	56903
265	3197	56907
266	3209	56887
267	3220	56855
268	3232	56844
269	3243	56824
270	3254	56799
271	3266	56785
272	3278	56760
273	3288	56729
274	3301	56729
275	3313	56720
276	3324	56688
277	3335	56657
278	3346	56633
279	3358	56611
280	3369	56580
281	3379	56545
282	3391	56532
283	3403	56512
284	3414	56495
285	3426	56474
286	3437	56443
287	3449	56430
288	3460	56407
289	3471	56385
290	3483	56366
291	3494	56346
292	3505	56321
293	3517	56310
294	3529	56288
295	3540	56267
296	3554	56290
297	3567	56286
298	3581	56302
299	3595	56333
300	3612	56394
301	3627	56434
302	3639	56420
303	3650	56385
304	3661	56363
305	3673	56346
306	3684	56323
307	3695	56296
308	3706	56276
309	3718	56262
310	3730	56241
311	3744	56261
312	3759	56295
313	3774	56335
314	3786	56319
315	3798	56299
316	3809	56283
317	3821	56259
318	3828	56175
319	3839	56155
320	3850	56131
321	3862	56114
322	3874	56095
323	3885	56079
324	3898	56074
325	3918	56174
326	3937	56271
327	3951	56278
328	3963	56278
329	3975	56264
330	3987	56247
331	3998	56226
332	4009	56196
333	4021	56177
334	4033	56161
335	4047	56177
336	4057	56149
337	4069	56128
338	4080	56105
339	4092	56087
340	4106	56102
341	4121	56134
342	4140	56212
343	4152	56208
344	4166	56217
345	4179	56211
346	4191	56202
347	4224	56475
348	4242	56539
349	4254	56529
350	4267	56517
